id,name,room_type,price,minimum_nights,number_of_reviews,city
3781,HARBORSIDE-Walk to subway,Apartment,146,28,16,Boston
5506,**$49 Special **   Private! Minutes to center!,Apartment,145,3,107,Boston
6695,$99 Special!! Home Away! Condo,Apartment,169,3,115,Boston
10730,Bright 1bed facing Golden Dome,Apartment,85,91,32,Boston
10813,"Back Bay Apt-blocks to subway, Newbury St, The Pru",Apartment,87,28,10,Boston
10986,North End (Waterfront area)  CLOSE TO MGH & SUBWAY,Apartment,83,28,2,Boston
18711,The Dorset Redline | 3BR 1BA | Walk to Redline for Mass General!,Apartment,129,32,52,Boston
22195,Copley House - Premium Studio,Private,152,1,21,Boston
24240,"The Golden Slipper B&B Afloat, 2 bed/2 bath",Apartment,275,2,104,Boston
29765,"Luxury suite, Moroccan furnishings",Apartment,226,2,93,Boston
40601,Private & bath - Jamaica Plain,Private,85,56,77,Boston
45987,Gorgeous Garden Studio Charlestown,Apartment,125,3,130,Boston
60029,Room in geographical heart of Hub,Private,78,14,141,Boston
60356,Bookcase 1bd facing Boston Common,Apartment,85,32,18,Boston
67774,Corner 1 bed facing Golden Dome,Apartment,85,32,44,Boston
69369,Room in Boston off the beaten path,Private,82,14,120,Boston
77681,Waterfall Room: Bunker Hill B&B,Private,140,2,54,Boston
95453,Royal Street Studio: Allston,Apartment,199,5,41,Boston
163941,$99* SPECIAL* 2 bed ApT! Location!,Apartment,231,3,228,Boston
169430,Stylish + Comfortable Urban Victorian,Apartment,88,2,149,Boston
182613,Great 2BR in Boston near everything w free parking,Apartment,119,91,106,Boston
190170,In-Law Suite w/Room to Spare :-),Apartment,42,7,70,Boston
197727,"Great Boston neighborhood , Jamaica Plain",Private,60,30,44,Boston
197972,Perfect Location--Super Studio!,Apartment,145,2,388,Boston
210097,Treetop Haven in the City,Apartment,93,3,195,Boston
220676,Private room off the Freedom Trail.,Private,145,3,251,Boston
257588,BOSTON LUXURY FOR LESS!! NEAR BCEC,Apartment,264,2,331,Boston
276450,19th Century Luxury | South End | 1BR 1BA #3,Apartment,113,30,93,Boston
322593,"Near Hospitals, 28 Day Bking Only,OutdoorSpace",Apartment,171,28,409,Boston
349347,Experience Past|Enjoy Present|South End 1BR 1BA #2,Apartment,107,30,111,Boston
400067,Private Room in Spacious Apartment1,Private,60,91,24,Boston
447826,"Sweet Little House in JP, Boston",Private,71,3,313,Boston
496022,"Private Floor, Private Bath, City Location",Private,173,91,16,Boston
530983,The Grand View Redline | 5BR 2BA | Victorian Home near Boston Medical and Mass General!,Apartment,206,29,67,Boston
533114,The Sawyer RedLine | 2BR 2.5BA | 1st Floor unit on Redline to Mass General and BMC!,Apartment,86,32,53,Boston
533152,The Penthouse Redline | 2BR 1BA | Walk to the Redline for UMass and Mass General!,Apartment,65,32,56,Boston
561769,The Sky View Redline | 3BR 1BA | Mass General and Boston Medical!,Apartment,103,29,59,Boston
579605,The Mayhew Redline | 2BR 1BA | Walk to the Redline for UMass and Mass General!,Apartment,105,32,52,Boston
583255,"Boston Beauty, Walk to C and B line",Apartment,149,91,20,Boston
601763,"The Alameda 2 Commuter Rail | 2BR 1BA | Brookline Area, free parking near Faulkner!",Apartment,111,32,37,Boston
